SQLDATE,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,EventCode,GoldsteinScale,SOURCEURL
20260421,"Texas, United States",31.106,-97.6475,130,-4.4,https://mynorthwest.com/kiro-opinion/seattle-data-centers/4230148
20260419,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.breitbart.com/clips/2026/04/18/exclusive-rep-brandon-gill-ken-paxton-fights-for-texans-cornyn-fights-for-amnesty/
20260419,"Texas, United States",31.106,-97.6475,138,-7.0,https://www.tf1info.fr/international/direct-guerre-moyen-orient-iran-etats-unis-liban-le-hezbollah-promet-de-riposter-aux-attaques-d-israel-les-dernieres-informations-dimanche-19-avril-2026-2436834.html
20260419,"Texas, United States",31.106,-97.6475,143,-6.5,https://www.dailyfreeman.com/2026/04/19/how-they-voted-ryan-riley-on-iran-war-pollution-exemptions/
20260419,"Texas, United States",31.106,-97.6475,143,-6.5,https://www.dailyfreeman.com/2026/04/19/how-they-voted-ryan-riley-on-iran-war-pollution-exemptions/
20260419,"Shady Acres, Texas, United States",29.7977,-95.4156,130,-4.4,https://www.lex18.com/weather/kansas-senator-addresses-national-weather-service-concerns-after-tornado
20260419,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.kten.com/news/sherman-man-facing-burglary-and-obstruction-charges/article_7bc2c5e1-e9a4-4e12-8135-70b416ca8ecc.html
20260418,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.thetimes.com/uk/crime/article/lucy-harrison-texas-shooting-father-kris-qz59hrswc
20260418,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.thetimes.com/uk/crime/article/lucy-harrison-texas-shooting-father-kris-qz59hrswc
20260419,"Texas, United States",31.106,-97.6475,141,-6.5,https://www.thedailybeast.com/trumpy-justices-frenzied-bid-to-steamroll-dobbs-dissenters-revealed/
20260419,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.moneycontrol.com/news/trends/despite-complaints-woman-files-lawsuit-against-popular-cab-firm-after-driver-turns-violent-during-ride-13893153.html
20260419,"Long Beach, California, United States",33.767,-118.189,130,-4.4,http://arabic.news.cn/20260419/fbc1681028124281afb0343789e9c2aa/c.html
